id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-10-16T18:32:35;unleash integrate;1
2;Gloves Account Belarussian;2022-10-17T04:32:56;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-10-16T09:51:28;SSL zero;3
4;user-facing turquoise;2022-10-16T23:41:36;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-10-16T11:09:29;Viaduct Bedfordshire;5
6;Shoes Avon;2022-10-17T06:31:02;Lilangeni;6
7;Music Handmade;2022-10-16T16:08:40;Estate red;7
8;Officer mobile Specialist;2022-10-17T01:58:43;system;8
9;bypass;2022-10-17T07:31:01;Streamlined;9
10;invoice Quality-focused hack;2022-10-16T11:51:50;wireless Borders;10
